R1,R,Z1,Z,L1,L,Energy,Entropy,Slew Rate,Rise Time,Maximum,Minimum,DTW distance
68.0,47.0,40,35,100,40,142.57874170198193,0.58450120155625,0.34235388189874527,7.711319016913636e-09,3.085007667541504,0.0,572.5637890831069
1e-09,68.0,40,35,100,40,204.03309974881267,0.5290506758686069,1.4162957717670916,1.8640174267456224e-09,3.645479679107666,-0.37864112854003906,255.16498388349393
10.0,68.0,40,35,100,40,191.5241654160127,0.43103059198310434,1.1052809295899417,2.3885330229839734e-09,3.3249728679656982,-0.027503982186317444,219.49396155318368
15.0,68.0,40,35,100,40,185.95690676193044,0.4693491482529986,0.9486671256731986,2.782851780730346e-09,3.2998759746551514,-0.0006064262706786394,244.1548389643797
22.0,68.0,40,35,100,40,178.55666101240786,0.5311379357669518,0.7551667527525532,3.495916617591152e-09,3.2930335998535156,0.0,276.1879117243018
33.0,68.0,40,35,100,40,168.1149797150283,0.5532139136951526,0.5706085305738601,4.626639558551563e-09,3.264173746109009,0.0,536.3022976374896
47.0,68.0,40,35,100,40,155.8878466312308,0.5689094300139729,0.4414550993736799,5.980223138764358e-09,3.1976029872894287,0.0,530.321851206808
68.0,68.0,40,35,100,40,140.6553593596982,0.5826486569769389,0.3370015803295935,7.833791157353129e-09,3.0637764930725098,0.0,578.2328052344754
1e-09,100.0,40,35,100,40,196.2489477591589,0.4850408308371436,1.23071474150604,2.1450949687735117e-09,3.4175009727478027,-0.1310572326183319,222.92501393631645
10.0,100.0,40,35,100,40,185.30442957853666,0.48641594965560775,0.9210244363605468,2.866373459570771e-09,3.300724983215332,-0.0016519034979864955,260.4563191670328
15.0,100.0,40,35,100,40,180.2462605837718,0.5226674078403386,0.7864604473656628,3.356812168803879e-09,3.296391010284424,0.0,268.1889249224345
22.0,100.0,40,35,100,40,173.38825841761718,0.5441631001841262,0.6536245556140882,4.039015941681824e-09,3.2833352088928223,0.0,314.2314083996053
33.0,100.0,40,35,100,40,163.52325360458053,0.5559995380097699,0.516808602726443,5.108274100068345e-09,3.2443737983703613,0.0,562.840144641266
47.0,100.0,40,35,100,40,152.0622703310437,0.5668544792941604,0.4099667757358084,6.439546217523913e-09,3.168879985809326,0.0,546.9504949350508
68.0,100.0,40,35,100,40,137.77656704405672,0.5832068777424557,0.3150590180462818,8.379382429269767e-09,3.029527187347412,0.0,583.8976949723807
1e-09,150.0,40,35,100,40,185.4351552310618,0.5068646125667535,0.9210145917486072,2.8664040978849037e-09,3.3073997497558594,-0.007890213280916214,263.55274892659855
10.0,150.0,40,35,100,40,175.93694678907923,0.5518665944583101,0.6937739202891463,3.805274200707514e-09,3.2912981510162354,0.0,314.4994129430471
15.0,150.0,40,35,100,40,171.44181185813068,0.5464496683667804,0.620163679817927,4.256940685038301e-09,3.2793869972229004,0.0,330.9736232730674
22.0,150.0,40,35,100,40,165.34974633941601,0.564943593973089,0.538711323738334,4.900583826009041e-09,3.2555477619171143,0.0,356.30926874350286
33.0,150.0,40,35,100,40,156.52312868041918,0.5628664561637984,0.44824550209763364,5.889629650817943e-09,3.202669143676758,0.0,609.1608157293866
47.0,150.0,40,35,100,40,146.34095180099393,0.5716293369150457,0.36889728920788395,7.156463539400762e-09,3.116468667984009,0.0,541.0742412460107
68.0,150.0,40,35,100,40,133.36311610601115,0.5726531871854391,0.0,2.876142043364299e-08,2.972637414932251,0.0,590.2426423026196
1e-09,1e-09,45,35,100,40,236.62988724026945,0.58851165448449,1.8019835139986158,1.465052249086241e-09,4.587756633758545,-1.4633328914642334,555.659367733195
10.0,1e-09,45,35,100,40,210.47253540018573,0.5437773200945107,1.5462101018949168,1.7074005639755023e-09,3.8691155910491943,-0.632072925567627,289.88217898342043
15.0,1e-09,45,35,100,40,202.51877685950603,0.5112136902617346,1.4018059359298887,1.883284934336331e-09,3.6001508235931396,-0.34241217374801636,245.45325176935546
22.0,1e-09,45,35,100,40,193.32166800722916,0.4068053619775547,1.1954642763506773,2.2083470432583486e-09,3.3248188495635986,-0.033518604934215546,211.37400915454543
33.0,1e-09,45,35,100,40,180.77822971918067,0.5263620484083098,0.8038035749829915,3.2843844966176746e-09,3.2940592765808105,0.0,286.49795593284875
47.0,1e-09,45,35,100,40,167.45386233196768,0.561220470988242,0.5593793747272826,4.719516162509734e-09,3.259277820587158,0.0,439.2603412874053
68.0,1e-09,45,35,100,40,150.17147347862192,0.5783176521912388,0.39435726186040254,6.694437393001594e-09,3.1557912826538086,0.0,535.7645701301935
1e-09,10.0,45,35,100,40,229.8317838267394,0.5758939533600399,1.752496557895864,1.5064223596363106e-09,4.425290584564209,-1.2802127599716187,477.9463690127697
10.0,10.0,45,35,100,40,207.78875864380097,0.5357427411321626,1.4770081826358685,1.7873970036433082e-09,3.76887583732605,-0.5258424282073975,276.4496344067956
15.0,10.0,45,35,100,40,200.4274932687622,0.4977310099000645,1.346994171863462,1.9599193932277853e-09,3.533801555633545,-0.25853896141052246,234.74085356025356
22.0,10.0,45,35,100,40,191.45115004448598,0.39992255834361234,1.1294228548277656,2.3374770474275493e-09,3.300509214401245,-0.0031428677029907703,227.35561371286354
